
dgemv; ; ; ; ;tdgemv; ; ; ; ;dger; ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;14407.600000;10529.786666;5150.000000;20.726562;50;49891.300000;36667.337067;5150.000000;40.257812;50;11870.100000;9378.332532;5050.000000;20.335938;
100;16675.100000;2982.803931;20300.000000;80.492188;100;58420.400000;9213.085142;20300.000000;158.617188;100;20989.500000;12452.454531;20100.000000;79.710938;
150;32143.600000;2174.847360;45450.000000;179.320312;150;110273.700000;8099.298834;45450.000000;355.101562;150;36378.200000;1942.828032;45150.000000;178.148438;
200;55450.400000;773.243067;80600.000000;317.210938;200;191840.800000;4978.003431;80600.000000;629.710938;200;61625.400000;1082.726946;80200.000000;315.648438;
250;85350.300000;102.508585;125750.000000;494.164062;250;297192.500000;1176.580830;125750.000000;982.445312;250;93725.500000;1406.593349;125250.000000;492.210938;
300;121263.900000;3576.432061;180900.000000;710.179688;300;423901.900000;8572.281195;180900.000000;1413.304688;300;129686.600000;3560.016326;180300.000000;707.835938;
350;155316.300000;5105.954584;246050.000000;965.257812;350;574540.100000;58004.237877;246050.000000;1922.289062;350;162626.300000;243.594355;245350.000000;962.523438;
400;203291.700000;10903.004128;321200.000000;1259.398438;400;699158.600000;63653.076202;321200.000000;2509.398438;400;213733.000000;10343.882182;320400.000000;1256.273438;
450;252783.400000;181.937462;406350.000000;1592.601562;450;821662.200000;35974.445057;406350.000000;3174.632812;450;265748.300000;553.102893;405450.000000;1589.085938;
500;356701.000000;10508.857997;501500.000000;1964.867188;500;1432842.500000;44312.941898;501500.000000;3917.992188;500;341668.900000;11143.833231;500500.000000;1960.960938;
550;426947.800000;13255.079953;606650.000000;2376.195312;550;1692997.700000;109665.849232;606650.000000;4739.476562;550;415638.200000;18405.344630;605550.000000;2371.898438;
600;496525.900000;1743.050398;721800.000000;2826.585938;600;2064840.100000;36947.070267;721800.000000;5639.085938;600;496108.800000;14379.225402;720600.000000;2821.898438;
650;583598.300000;11573.367004;846950.000000;3316.039062;650;2399113.500000;29122.457833;846950.000000;6616.820312;650;589120.400000;27678.026386;845650.000000;3310.960938;
700;693322.600000;70999.272188;982100.000000;3844.554688;700;2804536.100000;212827.723165;982100.000000;7672.679688;700;664964.300000;15931.011393;980700.000000;3839.085938;
750;765401.500000;15113.509157;1127250.000000;4412.132812;750;3201521.500000;29954.870223;1127250.000000;8806.664062;750;807459.800000;48690.308505;1125750.000000;4406.273438;
800;886539.600000;22172.056211;1282400.000000;5018.773438;800;3632384.000000;392370.256771;1282400.000000;10018.773438;800;924335.500000;61623.631928;1280800.000000;5012.523438;
850;978557.700000;13662.578198;1447550.000000;5664.476562;850;4179897.300000;16544.634273;1447550.000000;11309.007812;850;997935.700000;13848.014046;1445850.000000;5657.835938;
900;1100873.500000;19451.893421;1622700.000000;6349.242188;900;4538521.700000;316708.231490;1622700.000000;12677.367188;900;1125947.800000;19273.623971;1620900.000000;6342.210938;
950;1218027.700000;18931.293696;1807850.000000;7073.070312;950;5080856.000000;276786.065673;1807850.000000;14123.851562;950;1289747.300000;40810.476204;1805950.000000;7065.648438;
1000;1388885.600000;58755.793703;2003000.000000;7835.960938;1000;5597338.200000;426712.268746;2003000.000000;15648.460938;1000;1394396.100000;22424.529821;2001000.000000;7828.148438;
