
dgemv; ; ; ; ;tdgemv; ; ; ; ;dger; ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;9372.000000;6863.777837;5150.000000;20.726562;50;55626.300000;48906.030135;5150.000000;40.257812;50;6436.200000;5176.335573;5050.000000;20.335938;
100;9055.700000;2167.223249;20300.000000;80.492188;100;45163.300000;11115.312277;20300.000000;158.617188;100;9542.800000;2331.474032;20100.000000;79.710938;
150;15092.600000;3017.530222;45450.000000;179.320312;150;90110.800000;15076.295989;45450.000000;355.101562;150;22298.100000;9599.743449;45150.000000;178.148438;
200;23445.700000;325.626796;80600.000000;317.210938;200;146294.800000;13860.769898;80600.000000;629.710938;200;31239.400000;10875.028544;80200.000000;315.648438;
250;41662.500000;6914.024938;125750.000000;494.164062;250;206287.400000;14629.366180;125750.000000;982.445312;250;41179.300000;634.632658;125250.000000;492.210938;
300;49537.300000;167.837451;180900.000000;710.179688;300;298163.100000;19986.813375;180900.000000;1413.304688;300;58169.700000;697.198544;180300.000000;707.835938;
350;76925.000000;11785.638345;246050.000000;965.257812;350;418084.100000;19639.509548;246050.000000;1922.289062;350;76615.200000;970.361665;245350.000000;962.523438;
400;87868.800000;685.630921;321200.000000;1259.398438;400;506999.000000;21505.201920;321200.000000;2509.398438;400;97579.600000;515.801745;320400.000000;1256.273438;
450;112028.600000;1116.734633;406350.000000;1592.601562;450;649125.800000;12941.371734;406350.000000;3174.632812;450;116908.800000;671.126486;405450.000000;1589.085938;
500;203610.000000;3403.403502;501500.000000;1964.867188;500;-99060930.800000;299996984.022216;501500.000000;3917.992188;500;146211.400000;227.791659;500500.000000;1960.960938;
550;231447.000000;9718.240077;606650.000000;2376.195312;550;1135629.300000;8782.005182;606650.000000;4739.476562;550;176827.900000;2085.103328;605550.000000;2371.898438;
600;267330.200000;1111.676644;721800.000000;2826.585938;600;1325483.600000;55780.532294;721800.000000;5639.085938;600;210175.700000;981.053113;720600.000000;2821.898438;
650;310083.100000;16142.863417;846950.000000;3316.039062;650;1585104.200000;20601.680421;846950.000000;6616.820312;650;247482.100000;1202.313724;845650.000000;3310.960938;
700;333886.300000;8537.155030;982100.000000;3844.554688;700;1884935.800000;25602.062354;982100.000000;7672.679688;700;288941.800000;1214.844665;980700.000000;3839.085938;
750;375967.100000;7412.316108;1127250.000000;4412.132812;750;2118208.800000;23921.026537;1127250.000000;8806.664062;750;340201.900000;13851.969235;1125750.000000;4406.273438;
800;428830.200000;13307.860570;1282400.000000;5018.773438;800;2464340.400000;68600.543781;1282400.000000;10018.773438;800;391639.600000;18904.939377;1280800.000000;5012.523438;
850;474710.500000;13061.244231;1447550.000000;5664.476562;850;2713701.200000;38760.175835;1447550.000000;11309.007812;850;443455.500000;19398.063296;1445850.000000;5657.835938;
900;529471.200000;11661.838696;1622700.000000;6349.242188;900;3026899.100000;22639.753782;1622700.000000;12677.367188;900;498369.000000;33266.717704;1620900.000000;6342.210938;
950;588960.200000;13635.552991;1807850.000000;7073.070312;950;3385138.000000;70661.871869;1807850.000000;14123.851562;950;560153.000000;20183.488970;1805950.000000;7065.648438;
1000;642712.200000;8527.128318;2003000.000000;7835.960938;1000;-96285283.900000;299978539.137839;2003000.000000;15648.460938;1000;612289.400000;13428.717461;2001000.000000;7828.148438;
