
dgemv; ; ; ; ;tdgemv; ; ; ; ;dger; ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;8909.600000;6844.508663;5150.000000;20.726562;50;61410.600000;52679.802244;5150.000000;40.257812;50;9142.400000;8007.884679;5050.000000;20.335938;
100;10427.800000;2528.764433;20300.000000;80.492188;100;48871.200000;7744.309405;20300.000000;158.617188;100;11065.900000;2531.471211;20100.000000;79.710938;
150;17614.400000;1504.254314;45450.000000;179.320312;150;88622.200000;3415.067197;45450.000000;355.101562;150;18831.000000;718.428980;45150.000000;178.148438;
200;28187.200000;381.328153;80600.000000;317.210938;200;155458.200000;27330.274894;80600.000000;629.710938;200;38737.200000;18733.131435;80200.000000;315.648438;
250;42564.900000;511.804543;125750.000000;494.164062;250;225309.000000;27314.565323;125750.000000;982.445312;250;54892.000000;17395.579611;125250.000000;492.210938;
300;61876.300000;697.074609;180900.000000;710.179688;300;306096.500000;17834.787895;180900.000000;1413.304688;300;69837.200000;956.775710;180300.000000;707.835938;
350;85270.700000;1882.697960;246050.000000;965.257812;350;415106.500000;38897.405950;246050.000000;1922.289062;350;94781.800000;11276.587745;245350.000000;962.523438;
400;105201.900000;269.634364;321200.000000;1259.398438;400;544141.200000;12946.611926;321200.000000;2509.398438;400;115347.900000;5073.375966;320400.000000;1256.273438;
450;135401.400000;622.365520;406350.000000;1592.601562;450;671293.800000;44179.022261;406350.000000;3174.632812;450;140371.200000;668.384739;405450.000000;1589.085938;
500;245410.800000;18404.918021;501500.000000;1964.867188;500;1027488.600000;20219.069124;501500.000000;3917.992188;500;187582.000000;20200.725190;500500.000000;1960.960938;
550;295018.900000;31352.462227;606650.000000;2376.195312;550;1242083.400000;21923.062264;606650.000000;4739.476562;550;220772.500000;16877.406645;605550.000000;2371.898438;
600;305327.100000;7148.271434;721800.000000;2826.585938;600;1476100.700000;27935.937078;721800.000000;5639.085938;600;263855.200000;14494.103055;720600.000000;2821.898438;
650;345187.500000;5778.192888;846950.000000;3316.039062;650;1746211.800000;32605.139953;846950.000000;6616.820312;650;302105.500000;739.130198;845650.000000;3310.960938;
700;392150.900000;10163.238848;982100.000000;3844.554688;700;2053281.500000;22244.897501;982100.000000;7672.679688;700;356178.400000;14475.242369;980700.000000;3839.085938;
750;459490.600000;24849.874584;1127250.000000;4412.132812;750;2316365.400000;25135.907333;1127250.000000;8806.664062;750;411892.300000;18229.732346;1125750.000000;4406.273438;
800;515293.400000;26445.576100;1282400.000000;5018.773438;800;2731927.400000;32405.786274;1282400.000000;10018.773438;800;478880.000000;19506.241232;1280800.000000;5012.523438;
850;562748.500000;17813.210942;1447550.000000;5664.476562;850;2981394.400000;25700.888686;1447550.000000;11309.007812;850;533420.900000;15520.693158;1445850.000000;5657.835938;
900;661285.400000;79436.397210;1622700.000000;6349.242188;900;3309215.400000;78528.592852;1622700.000000;12677.367188;900;610187.100000;21805.134342;1620900.000000;6342.210938;
950;702281.000000;14861.780741;1807850.000000;7073.070312;950;3682400.300000;55419.575100;1807850.000000;14123.851562;950;681720.100000;25833.769734;1805950.000000;7065.648438;
1000;755595.000000;15787.732484;2003000.000000;7835.960938;1000;4071814.800000;74164.603077;2003000.000000;15648.460938;1000;738419.800000;21781.824592;2001000.000000;7828.148438;
