
dgemv; ; ; ; ;tdgemv; ; ; ; ;dger; ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;19531.200000;15511.507856;5150.000000;20.726562;50;51527.200000;34369.266870;5150.000000;40.257812;50;22165.600000;15508.994276;5050.000000;20.335938;
100;33915.900000;8245.709338;20300.000000;80.492188;100;81290.300000;14705.123516;20300.000000;158.617188;100;30726.700000;401.154098;20100.000000;79.710938;
150;70037.800000;15988.810505;45450.000000;179.320312;150;168844.400000;2111.575488;45450.000000;355.101562;150;72082.600000;15559.576307;45150.000000;178.148438;
200;113366.500000;18323.261938;80600.000000;317.210938;200;274501.700000;37335.951476;80600.000000;629.710938;200;114868.300000;19098.298474;80200.000000;315.648438;
250;172708.600000;22955.600198;125750.000000;494.164062;250;448632.900000;26878.034695;125750.000000;982.445312;250;170283.800000;7416.605407;125250.000000;492.210938;
300;244691.500000;6860.696586;180900.000000;710.179688;300;612906.600000;9222.899145;180900.000000;1413.304688;300;254929.200000;2517.376047;180300.000000;707.835938;
350;310091.900000;14251.477793;246050.000000;965.257812;350;826816.800000;62785.899272;246050.000000;1922.289062;350;332530.100000;18723.773084;245350.000000;962.523438;
400;393093.800000;11069.615186;321200.000000;1259.398438;400;993318.300000;9597.499998;321200.000000;2509.398438;400;409201.000000;274.487158;320400.000000;1256.273438;
450;492867.600000;112.908990;406350.000000;1592.601562;450;1270756.000000;21680.336450;406350.000000;3174.632812;450;523891.900000;19825.076093;405450.000000;1589.085938;
500;612028.200000;10975.292158;501500.000000;1964.867188;500;1599680.800000;87179.493492;501500.000000;3917.992188;500;639764.800000;1079.821819;500500.000000;1960.960938;
550;771540.800000;76107.645924;606650.000000;2376.195312;550;1957043.900000;60697.225198;606650.000000;4739.476562;550;778636.600000;11500.055402;605550.000000;2371.898438;
600;880605.400000;10639.975199;721800.000000;2826.585938;600;2275193.000000;7372.910416;721800.000000;5639.085938;600;929004.700000;16853.721008;720600.000000;2821.898438;
650;1030555.400000;5753.797636;846950.000000;3316.039062;650;2745909.200000;52111.189132;846950.000000;6616.820312;650;1089434.200000;12694.810521;845650.000000;3310.960938;
700;1201698.000000;20397.967080;982100.000000;3844.554688;700;3176186.600000;63830.967024;982100.000000;7672.679688;700;1269801.500000;20868.669916;980700.000000;3839.085938;
750;1418604.800000;138454.026463;1127250.000000;4412.132812;750;3699952.000000;45599.843035;1127250.000000;8806.664062;750;1456445.100000;24017.200576;1125750.000000;4406.273438;
800;1589696.700000;20022.291213;1282400.000000;5018.773438;800;-95801528.800000;299992637.643555;1282400.000000;10018.773438;800;1698949.000000;26253.339026;1280800.000000;5012.523438;
850;1781147.800000;43301.876860;1447550.000000;5664.476562;850;4882800.000000;128749.649218;1447550.000000;11309.007812;850;1908109.300000;79496.108535;1445850.000000;5657.835938;
900;2026362.100000;45137.603469;1622700.000000;6349.242188;900;5369342.200000;78177.856556;1622700.000000;12677.367188;900;2137883.100000;37449.317456;1620900.000000;6342.210938;
950;2255536.400000;30660.795933;1807850.000000;7073.070312;950;6033755.000000;91343.523708;1807850.000000;14123.851562;950;2390487.800000;43894.147778;1805950.000000;7065.648438;
1000;2546069.000000;84943.319820;2003000.000000;7835.960938;1000;6641608.200000;32914.884736;2003000.000000;15648.460938;1000;2645163.300000;27924.443955;2001000.000000;7828.148438;
