
saxpy; ; ; ; ;dotprod; ; ; ; ;red(+); ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
4100;8128.600000;145.112508;12300.000000;32.039062;4100;9977.200000;4771.655495;12297.000000;32.039062;4100;8372.600000;17.205813;4099.000000;32.031250;
4200;11503.000000;6567.595009;12600.000000;32.820312;4200;8640.800000;122.408987;12597.000000;32.820312;4200;9917.900000;4035.724853;4199.000000;32.812500;
4300;10621.000000;5770.716108;12900.000000;33.601562;4300;10525.400000;4079.346717;12897.000000;33.601562;4300;16393.300000;12718.243543;4299.000000;33.593750;
4400;9504.600000;128.256150;13200.000000;34.382812;4400;9654.700000;22.343008;13197.000000;34.382812;4400;9649.000000;13.696715;4399.000000;34.375000;
4500;9584.500000;63.970696;13500.000000;35.164062;4500;9874.400000;24.791934;13497.000000;35.164062;4500;9830.700000;13.550277;4499.000000;35.156250;
4600;9941.100000;83.233947;13800.000000;35.945312;4600;10076.000000;34.278273;13797.000000;35.945312;4600;10033.100000;13.931619;4599.000000;35.937500;
4700;9875.100000;97.857498;14100.000000;36.726562;4700;10307.300000;23.778351;14097.000000;36.726562;4700;10278.400000;13.654303;4699.000000;36.718750;
4800;10098.900000;92.923033;14400.000000;37.507812;4800;10498.600000;22.424094;14397.000000;37.507812;4800;10470.100000;19.521527;4799.000000;37.500000;
4900;10310.600000;89.148416;14700.000000;38.289062;4900;10913.600000;606.199835;14697.000000;38.289062;4900;10689.800000;25.059130;4899.000000;38.281250;
5000;10534.400000;158.333319;15000.000000;39.070312;5000;10926.200000;21.301643;14997.000000;39.070312;5000;10899.300000;13.806158;4999.000000;39.062500;
5100;10693.400000;86.974939;15300.000000;39.851562;5100;11129.100000;20.520478;15297.000000;39.851562;5100;11111.800000;14.386104;5099.000000;39.843750;
5200;11034.500000;107.649663;15600.000000;40.632812;5200;11363.400000;23.724249;15597.000000;40.632812;5200;11331.000000;11.941524;5199.000000;40.625000;
5300;11099.600000;63.241126;15900.000000;41.414062;5300;11566.900000;23.809452;15897.000000;41.414062;5300;11552.000000;20.069878;5299.000000;41.406250;
5400;11332.900000;76.184578;16200.000000;42.195312;5400;11797.700000;23.828764;16197.000000;42.195312;5400;11891.500000;377.391375;5399.000000;42.187500;
5500;11471.600000;54.253479;16500.000000;42.976562;5500;12000.200000;25.817823;16497.000000;42.976562;5500;11973.500000;22.109953;5499.000000;42.968750;
5600;11744.900000;97.324663;16800.000000;43.757812;5600;12406.700000;497.928519;16797.000000;43.757812;5600;12191.700000;21.610414;5599.000000;43.750000;
5700;12049.100000;85.747828;17100.000000;44.539062;5700;12430.100000;30.461287;17097.000000;44.539062;5700;12405.600000;20.934183;5699.000000;44.531250;
5800;12112.000000;91.727858;17400.000000;45.320312;5800;12673.600000;34.871765;17397.000000;45.320312;5800;12626.700000;16.025293;5799.000000;45.312500;
5900;12379.400000;105.659074;17700.000000;46.101562;5900;12900.600000;18.402174;17697.000000;46.101562;5900;12836.200000;11.779643;5899.000000;46.093750;
