
saxpy; ; ; ; ;dotprod; ; ; ; ;red(+); ; ; ; ;
no.elts;M.N.O.T;T.std; nflop;size(kB);no.elts;M.N.O.T;T.std; nflop;size(kB);no.elts;M.N.O.T;T.std; nflop;size(kB);
4100;21029.000000;112.236358;12300.000000;32.039062;4100;22950.200000;24.173539;12297.000000;32.039062;4100;22910.400000;32.873089;4099.000000;32.031250;
4200;20676.000000;154.381346;12600.000000;32.820312;4200;23501.200000;32.424682;12597.000000;32.820312;4200;23443.600000;28.897059;4199.000000;32.812500;
4300;21111.000000;115.738498;12900.000000;33.601562;4300;41031.800000;50901.426074;12897.000000;33.601562;4300;24275.800000;837.525140;4299.000000;33.593750;
4400;21609.800000;189.072367;13200.000000;34.382812;4400;24600.200000;35.737375;13197.000000;34.382812;4400;24583.400000;43.414744;4399.000000;34.375000;
4500;22088.800000;104.870205;13500.000000;35.164062;4500;25181.000000;41.983330;13497.000000;35.164062;4500;25112.800000;38.191098;4499.000000;35.156250;
4600;22595.400000;160.837931;13800.000000;35.945312;4600;25736.600000;43.026039;13797.000000;35.945312;4600;25684.800000;37.525458;4599.000000;35.937500;
4700;23309.400000;133.797010;14100.000000;36.726562;4700;26302.000000;56.242333;14097.000000;36.726562;4700;26235.200000;40.498889;4699.000000;36.718750;
4800;28733.400000;15157.909567;14400.000000;37.507812;4800;26896.800000;67.255929;14397.000000;37.507812;4800;26801.800000;46.350405;4799.000000;37.500000;
4900;24350.200000;111.951597;14700.000000;38.289062;4900;28053.800000;1932.698311;14697.000000;38.289062;4900;27450.400000;284.205278;4899.000000;38.281250;
5000;24529.000000;128.614929;15000.000000;39.070312;5000;27950.600000;41.819134;14997.000000;39.070312;5000;27905.600000;31.909873;4999.000000;39.062500;
5100;34087.600000;26672.268652;15300.000000;39.851562;5100;32146.000000;10760.828853;15297.000000;39.851562;5100;32682.200000;12649.331000;5099.000000;39.843750;
5200;25772.400000;82.310631;15600.000000;40.632812;5200;29079.000000;36.157987;15597.000000;40.632812;5200;29019.400000;25.613278;5199.000000;40.625000;
5300;25984.600000;131.264771;15900.000000;41.414062;5300;29706.000000;232.225752;15897.000000;41.414062;5300;35083.400000;16490.905568;5299.000000;41.406250;
5400;26516.800000;127.537289;16200.000000;42.195312;5400;39859.200000;20039.267196;16197.000000;42.195312;5400;33984.200000;10785.526652;5399.000000;42.187500;
5500;27010.600000;184.932528;16500.000000;42.976562;5500;34519.400000;11345.803243;16497.000000;42.976562;5500;34850.200000;12465.314387;5499.000000;42.968750;
5600;27527.600000;289.114233;16800.000000;43.757812;5600;31315.200000;35.374567;16797.000000;43.757812;5600;31229.200000;29.842252;5599.000000;43.750000;
5700;27905.800000;90.166291;17100.000000;44.539062;5700;31851.400000;44.953754;17097.000000;44.539062;5700;32079.400000;839.820957;5699.000000;44.531250;
5800;28444.000000;89.384562;17400.000000;45.320312;5800;40262.200000;23483.972551;17397.000000;45.320312;5800;32527.000000;489.508529;5799.000000;45.312500;
5900;28957.800000;144.439468;17700.000000;46.101562;5900;33002.400000;100.990297;17697.000000;46.101562;5900;32914.800000;46.743556;5899.000000;46.093750;
6000;29910.200000;550.471398;18000.000000;46.882812;6000;33573.600000;29.200000;17997.000000;46.882812;6000;33453.600000;24.491631;5999.000000;46.875000;
6100;30162.400000;57.213984;18300.000000;47.664062;6100;34088.000000;42.199526;18297.000000;47.664062;6100;34027.600000;45.367830;6099.000000;47.656250;
6200;30540.000000;164.737367;18600.000000;48.445312;6200;34700.400000;50.357125;18597.000000;48.445312;6200;34586.800000;52.734808;6199.000000;48.437500;
6300;31544.600000;187.535703;18900.000000;49.226562;6300;38890.400000;10887.446893;18897.000000;49.226562;6300;39332.000000;12560.053630;6299.000000;49.218750;
6400;31539.800000;120.762411;19200.000000;50.007812;6400;35779.200000;62.046434;19197.000000;50.007812;6400;35882.400000;559.836976;6399.000000;50.000000;
6500;35492.800000;10789.420307;19500.000000;50.789062;6500;36510.000000;551.650614;19497.000000;50.789062;6500;39973.400000;11124.252426;6499.000000;50.781250;
6600;34834.800000;5776.994804;19800.000000;51.570312;6600;37672.600000;2342.043902;19797.000000;51.570312;6600;36803.800000;39.114703;6599.000000;51.562500;
6700;33352.400000;172.475621;20100.000000;52.351562;6700;38194.200000;2211.023917;20097.000000;52.351562;6700;44457.800000;21199.431020;6699.000000;52.343750;
6800;33646.200000;206.778045;20400.000000;53.132812;6800;38009.000000;50.921508;20397.000000;53.132812;6800;37927.000000;48.383882;6799.000000;53.125000;
6900;34176.800000;186.000430;20700.000000;53.914062;6900;38584.800000;81.457719;20697.000000;53.914062;6900;38492.000000;40.506790;6899.000000;53.906250;
7000;34278.600000;196.597152;21000.000000;54.695312;7000;39160.000000;28.537694;20997.000000;54.695312;7000;39029.000000;53.391010;6999.000000;54.687500;
7100;35113.200000;180.475372;21300.000000;55.476562;7100;39688.200000;83.299220;21297.000000;55.476562;7100;39590.600000;47.396624;7099.000000;55.468750;
7200;35844.600000;178.822929;21600.000000;56.257812;7200;40270.200000;71.791086;21597.000000;56.257812;7200;40148.000000;43.478730;7199.000000;56.250000;
7300;40615.800000;12641.939233;21900.000000;57.039062;7300;40784.600000;33.443086;21897.000000;57.039062;7300;40731.600000;37.103100;7299.000000;57.031250;
7400;37173.800000;117.658659;22200.000000;57.820312;7400;41357.000000;35.902646;22197.000000;57.820312;7400;41291.400000;42.256834;7399.000000;57.812500;
7500;39345.200000;6893.923423;22500.000000;58.601562;7500;41942.600000;98.342463;22497.000000;58.601562;7500;41837.200000;35.306657;7499.000000;58.593750;
7600;37692.000000;384.855297;22800.000000;59.382812;7600;51270.400000;26248.574541;22797.000000;59.382812;7600;42584.600000;618.925553;7599.000000;59.375000;
7700;37801.000000;240.966803;23100.000000;60.164062;7700;43009.400000;46.104664;23097.000000;60.164062;7700;43367.400000;1191.759724;7699.000000;60.156250;
7800;38698.600000;257.574921;23400.000000;60.945312;7800;43603.200000;59.734077;23397.000000;60.945312;7800;43520.400000;48.446259;7799.000000;60.937500;
7900;38801.800000;271.734356;23700.000000;61.726562;7900;44182.400000;83.324906;23697.000000;61.726562;7900;44096.200000;38.172765;7899.000000;61.718750;
8000;43667.400000;13201.646505;24000.000000;62.507812;8000;49028.800000;12712.085626;23997.000000;62.507812;8000;51829.400000;21572.227610;7999.000000;62.500000;
8100;40068.200000;146.296822;24300.000000;63.289062;8100;45254.400000;36.141942;24297.000000;63.289062;8100;45191.200000;43.627514;8099.000000;63.281250;
8200;40360.800000;136.367738;24600.000000;64.070312;8200;45871.200000;43.342358;24597.000000;64.070312;8200;45726.000000;29.051678;8199.000000;64.062500;
8300;40758.800000;247.137533;24900.000000;64.851562;8300;46374.000000;49.533827;24897.000000;64.851562;8300;46314.600000;25.140406;8299.000000;64.843750;
8400;41750.400000;255.516418;25200.000000;65.632812;8400;46969.800000;41.822960;25197.000000;65.632812;8400;46867.200000;41.868365;8399.000000;65.625000;
8500;44976.800000;9001.566450;25500.000000;66.414062;8500;49339.200000;5559.933539;25497.000000;66.414062;8500;47437.400000;48.933015;8499.000000;66.406250;
8600;47700.600000;16649.163055;25800.000000;67.195312;8600;52409.600000;13020.206382;25797.000000;67.195312;8600;48002.800000;46.227265;8599.000000;67.187500;
8700;44242.000000;104.751134;26100.000000;67.976562;8700;48676.800000;85.898545;26097.000000;67.976562;8700;48536.600000;49.461500;8699.000000;67.968750;
8800;43741.400000;159.032198;26400.000000;68.757812;8800;49261.400000;100.534770;26397.000000;68.757812;8800;49045.200000;27.235271;8799.000000;68.750000;
8900;43664.400000;173.310819;26700.000000;69.539062;8900;49813.600000;102.421873;26697.000000;69.539062;8900;49651.200000;47.490631;8899.000000;69.531250;
9000;49494.000000;15863.532015;27000.000000;70.320312;9000;53849.800000;10686.098238;26997.000000;70.320312;9000;50223.000000;49.576204;8999.000000;70.312500;
9100;44851.200000;434.054559;27300.000000;71.101562;9100;50851.600000;70.107346;27297.000000;71.101562;9100;50763.000000;39.153544;9099.000000;71.093750;
9200;45633.200000;151.494422;27600.000000;71.882812;9200;51409.200000;55.202898;27597.000000;71.882812;9200;51336.000000;46.406896;9199.000000;71.875000;
9300;46174.400000;260.950263;27900.000000;72.664062;9300;51980.400000;111.587813;27897.000000;72.664062;9300;51875.400000;46.630891;9299.000000;72.656250;
9400;46078.200000;182.908611;28200.000000;73.445312;9400;52589.000000;49.114153;28197.000000;73.445312;9400;52432.400000;42.781304;9399.000000;73.437500;
9500;47028.800000;202.267546;28500.000000;74.226562;9500;53181.800000;130.792813;28497.000000;74.226562;9500;59852.200000;20593.317682;9499.000000;74.218750;
9600;47968.400000;232.084123;28800.000000;75.007812;9600;55889.600000;6632.836425;28797.000000;75.007812;9600;58489.200000;14822.310163;9599.000000;75.000000;
9700;47858.600000;137.788388;29100.000000;75.789062;9700;56042.200000;4131.145551;29097.000000;75.789062;9700;59436.800000;11249.768894;9699.000000;75.781250;
9800;52130.400000;10659.818452;29400.000000;76.570312;9800;54759.800000;55.139460;29397.000000;76.570312;9800;54652.000000;35.008570;9799.000000;76.562500;
9900;48750.000000;181.581937;29700.000000;77.351562;9900;55307.000000;30.610456;29697.000000;77.351562;9900;55210.400000;31.455365;9899.000000;77.343750;
10000;49796.200000;721.342332;30000.000000;78.132812;10000;55932.600000;111.760637;29997.000000;78.132812;10000;55769.800000;34.680830;9999.000000;78.125000;
