
saxpy; ; ; ; ;dotprod; ; ; ; ;red(+); ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;2897.500000;684.160836;100.000000;0.789062;50;1961.900000;377.347174;98.000000;0.398438;50;1727.600000;230.547262;49.000000;0.390625;
100;3197.900000;307.258019;200.000000;1.570312;100;2580.200000;219.055609;198.000000;0.789062;100;2164.400000;174.065620;99.000000;0.781250;
150;3333.100000;903.962107;300.000000;2.351562;150;3027.200000;853.479912;298.000000;1.179688;150;2428.800000;632.245965;149.000000;1.171875;
200;811.100000;74.591487;400.000000;3.132812;200;761.900000;72.474064;398.000000;1.570312;200;645.900000;52.732248;199.000000;1.562500;
250;776.000000;90.321647;500.000000;3.914062;250;2240.500000;3984.314602;498.000000;1.960938;250;712.900000;32.383483;249.000000;1.953125;
300;966.700000;67.677249;600.000000;4.695312;300;2353.000000;3978.191700;598.000000;2.351562;300;843.800000;38.662126;299.000000;2.343750;
350;974.100000;71.304207;700.000000;5.476562;350;1089.300000;130.001577;698.000000;2.742188;350;925.800000;63.609433;349.000000;2.734375;
400;1038.900000;98.602688;800.000000;6.257812;400;1123.700000;39.033447;798.000000;3.132812;400;1057.400000;84.279535;399.000000;3.125000;
450;1360.900000;192.892431;900.000000;7.039062;450;1330.200000;146.400683;898.000000;3.523438;450;2823.900000;4888.212177;449.000000;3.515625;
500;1306.600000;187.763788;1000.000000;7.820312;500;1399.800000;68.934462;998.000000;3.914062;500;3280.100000;5880.529916;499.000000;3.906250;
550;1116.400000;64.175073;1100.000000;8.601562;550;3590.900000;6134.569267;1098.000000;4.304688;550;1468.500000;72.893415;549.000000;4.296875;
600;1417.000000;142.336222;1200.000000;9.382812;600;1697.400000;73.498571;1198.000000;4.695312;600;1645.000000;58.869347;599.000000;4.687500;
650;1273.600000;131.402587;1300.000000;10.164062;650;1807.000000;44.054512;1298.000000;5.085938;650;1765.700000;36.337446;649.000000;5.078125;
700;1336.700000;57.688907;1400.000000;10.945312;700;1944.700000;43.106960;1398.000000;5.476562;700;1895.900000;48.415803;699.000000;5.468750;
750;1397.700000;56.205071;1500.000000;11.726562;750;2213.500000;58.205240;1498.000000;5.867188;750;2029.700000;91.256835;749.000000;5.859375;
800;1582.300000;123.301298;1600.000000;12.507812;800;2207.700000;49.106110;1598.000000;6.257812;800;2128.400000;35.983885;799.000000;6.250000;
850;1568.600000;197.369299;1700.000000;13.289062;850;2138.400000;149.151735;1698.000000;6.648438;850;2091.400000;151.207275;849.000000;6.640625;
900;1842.900000;214.762869;1800.000000;14.070312;900;6276.200000;8243.106839;1798.000000;7.039062;900;4344.200000;6516.172447;899.000000;7.031250;
950;1493.800000;99.443250;1900.000000;14.851562;950;2283.700000;23.879070;1898.000000;7.429688;950;3567.800000;3966.411698;949.000000;7.421875;
1000;1599.800000;82.211678;2000.000000;15.632812;1000;2546.500000;41.783370;1998.000000;7.820312;1000;2336.800000;66.387951;999.000000;7.812500;
