
saxpy; ; ; ; ;dotprod; ; ; ; ;red(+); ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;4288.600000;354.637054;100.000000;0.789062;50;1985.000000;466.378387;98.000000;0.398438;50;1806.500000;353.029531;49.000000;0.390625;
100;4680.200000;234.704410;200.000000;1.570312;100;3868.700000;225.055571;198.000000;0.789062;100;2739.700000;387.657852;99.000000;0.781250;
150;4674.000000;180.417294;300.000000;2.351562;150;4546.700000;257.322385;298.000000;1.179688;150;2969.400000;199.881565;149.000000;1.171875;
200;8863.600000;20459.413834;400.000000;3.132812;200;1645.600000;1390.831205;398.000000;1.570312;200;1547.800000;1351.095245;199.000000;1.562500;
250;1183.100000;70.658970;500.000000;3.914062;250;1070.400000;155.472956;498.000000;1.960938;250;925.800000;78.902218;249.000000;1.953125;
300;1262.000000;83.046975;600.000000;4.695312;300;1108.600000;85.033170;598.000000;2.351562;300;939.600000;51.915701;299.000000;2.343750;
350;1390.700000;307.126049;700.000000;5.476562;350;2213.900000;430.087538;698.000000;2.742188;350;1215.800000;82.898492;349.000000;2.734375;
400;1448.200000;102.653592;800.000000;6.257812;400;1696.300000;316.757652;798.000000;3.132812;400;1257.400000;143.144123;399.000000;3.125000;
450;1393.300000;111.285264;900.000000;7.039062;450;1620.000000;276.466996;898.000000;3.523438;450;1402.400000;57.224470;449.000000;3.515625;
500;1449.200000;92.637789;1000.000000;7.820312;500;1749.900000;111.205620;998.000000;3.914062;500;1520.900000;65.520150;499.000000;3.906250;
550;1540.400000;48.518450;1100.000000;8.601562;550;1788.300000;178.198232;1098.000000;4.304688;550;1601.200000;55.509999;549.000000;4.296875;
600;1730.700000;180.913819;1200.000000;9.382812;600;1960.400000;153.341579;1198.000000;4.695312;600;1793.300000;46.615555;599.000000;4.687500;
650;1621.200000;93.020213;1300.000000;10.164062;650;1956.000000;119.536605;1298.000000;5.085938;650;1910.100000;61.028600;649.000000;5.078125;
700;1780.900000;60.170508;1400.000000;10.945312;700;2399.200000;135.227068;1398.000000;5.476562;700;2200.900000;110.732516;699.000000;5.468750;
750;1661.400000;74.529457;1500.000000;11.726562;750;2493.000000;111.256460;1498.000000;5.867188;750;2261.300000;43.712813;749.000000;5.859375;
800;4333.100000;7558.940593;1600.000000;12.507812;800;2407.200000;162.313770;1598.000000;6.257812;800;4609.500000;6786.639172;799.000000;6.250000;
850;1816.300000;101.340071;1700.000000;13.289062;850;2373.200000;69.727756;1698.000000;6.648438;850;2452.600000;54.356600;849.000000;6.640625;
900;1851.800000;53.276261;1800.000000;14.070312;900;2752.300000;154.243995;1798.000000;7.039062;900;2627.500000;57.102102;899.000000;7.031250;
950;2050.500000;134.470257;1900.000000;14.851562;950;2546.800000;62.556854;1898.000000;7.429688;950;2837.300000;74.296770;949.000000;7.421875;
1000;1975.100000;66.561926;2000.000000;15.632812;1000;3083.600000;186.334216;1998.000000;7.820312;1000;2837.300000;58.161929;999.000000;7.812500;
