
mgs; ; ; ; ;
no.elts;M.N.O.T;T.std ; nflop;size(kB);
10;249252;27970;4420;19220;
20;578985;405061;33640;76840;
30;753442;188621;111660;172860;
40;1428770;118588;262480;307280;
50;2421843;66736;510100;480100;
60;3908669;27987;878520;691320;
70;6007113;77247;1391740;940940;
80;8714537;32886;2073760;1228960;
90;11649028;223281;2948580;1555380;
100;15897977;391924;4040200;1920200;
