
cgs; ; ; ; ;
no.elts;M.N.O.T;T.std ; nflop;size(kB);
10;248184;22434;4420;19220;
20;640059;432342;33640;76840;
30;590917;25376;111660;172860;
40;1371486;41857;262480;307280;
50;2402310;50178;510100;480100;
60;3890733;128898;878520;691320;
70;5743415;83421;1391740;940940;
80;8409736;56383;2073760;1228960;
90;11429731;116095;2948580;1555380;
100;15661279;176810;4040200;1920200;
