
cgs; ; ; ; ;
no.elts;M.N.O.T;T.std ; nflop;size(kB);
10;239178;6682;4420;19220;
20;642715;396627;33640;76840;
30;640406;52033;111660;172860;
40;1377757;43236;262480;307280;
50;2379337;39872;510100;480100;
60;3773862;156759;878520;691320;
70;5711395;171047;1391740;940940;
80;8478631;157043;2073760;1228960;
90;11477577;79715;2948580;1555380;
100;15737882;140633;4040200;1920200;
