
gs; ; ; ; ;
no.elts;M.N.O.T;T.std ; nflop;size(kB);
10;52973;5443;2376;222;
20;325343;45710;17451;842;
30;214212;60570;57226;1862;
40;489228;103704;133701;3282;
50;844663;34982;258876;5102;
60;1441105;50045;444751;7322;
70;2264550;72421;703326;9942;
80;3329373;87687;1046601;12962;
90;4634692;100298;1486576;16382;
100;6360337;77095;2035251;20202;
