
saxpy; ; ; ; ;dotprod; ; ; ; ;red(+); ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;2897.500000;336.979005;100.000000;0.789062;50;1864.800000;253.977873;98.000000;0.398438;50;1747.500000;294.913971;49.000000;0.390625;
100;3076.200000;236.282373;200.000000;1.570312;100;2548.000000;253.998031;198.000000;0.789062;100;2171.100000;125.066742;99.000000;0.781250;
150;3360.900000;301.335843;300.000000;2.351562;150;3222.700000;237.148076;298.000000;1.179688;150;2859.200000;159.336625;149.000000;1.171875;
200;3236.100000;1268.677536;400.000000;3.132812;200;3755.200000;1550.179332;398.000000;1.570312;200;4654.500000;4116.330702;199.000000;1.562500;
250;749.500000;35.508450;500.000000;3.914062;250;1060.800000;74.782083;498.000000;1.960938;250;804.000000;19.266551;249.000000;1.953125;
300;852.300000;43.527118;600.000000;4.695312;300;1844.500000;317.631941;598.000000;2.351562;300;918.000000;44.063590;299.000000;2.343750;
350;957.000000;49.450986;700.000000;5.476562;350;1062.100000;39.154693;698.000000;2.742188;350;961.000000;25.557778;349.000000;2.734375;
400;1227.000000;813.714078;800.000000;6.257812;400;3866.100000;6413.220134;798.000000;3.132812;400;1175.900000;65.927915;399.000000;3.125000;
450;1186.200000;83.579663;900.000000;7.039062;450;1275.900000;45.308829;898.000000;3.523438;450;2664.700000;4100.153047;449.000000;3.515625;
500;1087.100000;135.024776;1000.000000;7.820312;500;3257.600000;5710.531993;998.000000;3.914062;500;1342.600000;53.320165;499.000000;3.906250;
550;1193.500000;93.298714;1100.000000;8.601562;550;1543.100000;51.475140;1098.000000;4.304688;550;1472.900000;32.540590;549.000000;4.296875;
600;1233.200000;252.350867;1200.000000;9.382812;600;1654.100000;95.289506;1198.000000;4.695312;600;1584.200000;65.076570;599.000000;4.687500;
650;1411.600000;132.545992;1300.000000;10.164062;650;1871.700000;57.754740;1298.000000;5.085938;650;1804.700000;28.249071;649.000000;5.078125;
700;1387.800000;82.064365;1400.000000;10.945312;700;2032.600000;83.595694;1398.000000;5.476562;700;1944.600000;50.008399;699.000000;5.468750;
750;1426.000000;66.724808;1500.000000;11.726562;750;2186.500000;47.457876;1498.000000;5.867188;750;2041.900000;30.200828;749.000000;5.859375;
800;1477.400000;64.343143;1600.000000;12.507812;800;2407.400000;46.665190;1598.000000;6.257812;800;2284.600000;65.545709;799.000000;6.250000;
850;1585.100000;135.836262;1700.000000;13.289062;850;2378.200000;59.234787;1698.000000;6.648438;850;2323.800000;56.327258;849.000000;6.640625;
900;1545.500000;93.188250;1800.000000;14.070312;900;2318.800000;118.650579;1798.000000;7.039062;900;2240.600000;115.398614;899.000000;7.031250;
950;1530.700000;59.186232;1900.000000;14.851562;950;2373.800000;21.953587;1898.000000;7.429688;950;2269.100000;31.484758;949.000000;7.421875;
1000;1810.100000;106.945266;2000.000000;15.632812;1000;2712.800000;50.503069;1998.000000;7.820312;1000;2682.100000;56.246689;999.000000;7.812500;
