
saxpy; ; ; ; ;dotprod; ; ; ; ;red(+); ; ; ; ;
no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);no.elts;M.RT(ns);RT.std (ns); nflop;size(kB);
50;3459.400000;392.171952;100.000000;0.789062;50;2090.000000;469.520181;98.000000;0.398438;50;1852.400000;315.584600;49.000000;0.390625;
100;4294.200000;2541.214229;200.000000;1.570312;100;3114.100000;151.063199;198.000000;0.789062;100;2429.300000;415.401023;99.000000;0.781250;
150;4291.300000;412.240476;300.000000;2.351562;150;4539.700000;731.388686;298.000000;1.179688;150;3039.000000;192.009896;149.000000;1.171875;
200;5020.100000;654.533490;400.000000;3.132812;200;4424.300000;375.226345;398.000000;1.570312;200;3689.100000;330.004682;199.000000;1.562500;
250;3098.300000;2090.929413;500.000000;3.914062;250;4340.200000;2701.376197;498.000000;1.960938;250;2706.800000;1760.780781;249.000000;1.953125;
300;1135.300000;83.565603;600.000000;4.695312;300;1592.700000;201.397145;598.000000;2.351562;300;967.000000;57.893005;299.000000;2.343750;
350;1191.800000;75.487482;700.000000;5.476562;350;1467.200000;77.359938;698.000000;2.742188;350;1096.100000;36.819696;349.000000;2.734375;
400;1207.500000;91.353435;800.000000;6.257812;400;1778.700000;349.239187;798.000000;3.132812;400;1166.900000;40.498025;399.000000;3.125000;
450;1352.800000;179.739144;900.000000;7.039062;450;1665.300000;201.657655;898.000000;3.523438;450;1378.900000;103.187645;449.000000;3.515625;
500;1388.600000;183.260580;1000.000000;7.820312;500;1549.300000;129.451188;998.000000;3.914062;500;1543.100000;93.981328;499.000000;3.906250;
550;1081.300000;164.240099;1100.000000;8.601562;550;1635.800000;30.505082;1098.000000;4.304688;550;1559.300000;47.100000;549.000000;4.296875;
600;1512.800000;261.890741;1200.000000;9.382812;600;1747.200000;69.437454;1198.000000;4.695312;600;1727.500000;69.254964;599.000000;4.687500;
650;1423.400000;192.761614;1300.000000;10.164062;650;2055.300000;100.119978;1298.000000;5.085938;650;1923.200000;117.719837;649.000000;5.078125;
700;1618.100000;94.019626;1400.000000;10.945312;700;2008.200000;66.515863;1398.000000;5.476562;700;1927.500000;41.812080;699.000000;5.468750;
750;1554.700000;89.518769;1500.000000;11.726562;750;2261.600000;64.064343;1498.000000;5.867188;750;2035.300000;39.354923;749.000000;5.859375;
800;1775.300000;81.995183;1600.000000;12.507812;800;2462.900000;48.231629;1598.000000;6.257812;800;2336.400000;91.805446;799.000000;6.250000;
850;1829.800000;159.447045;1700.000000;13.289062;850;2498.700000;112.828232;1698.000000;6.648438;850;2408.300000;78.977275;849.000000;6.640625;
900;1922.800000;67.740387;1800.000000;14.070312;900;2696.000000;120.996694;1798.000000;7.039062;900;2584.600000;133.512696;899.000000;7.031250;
950;1950.100000;107.315842;1900.000000;14.851562;950;2918.100000;115.933127;1898.000000;7.429688;950;2741.900000;61.882873;949.000000;7.421875;
1000;2071.000000;99.526881;2000.000000;15.632812;1000;3023.300000;45.969664;1998.000000;7.820312;1000;2727.700000;55.194293;999.000000;7.812500;
